subcellular_location,count
"Nucleus:Cytoplasm, cytoskeleton, spindle:Chromosome, centromere, kinetochore",11
"Cytoplasmic vesicle, autophagosome",11
Presynaptic cell membrane,11
Mitochondrion matrix:Nucleus,11
"Cell projection, cilium, flagellum:Cytoplasm",11
Apical cell membrane:Membrane,11
Secreted:Vacuole,11
Endomembrane system:Vacuole membrane,11
Secreted:Secreted,11
Secreted:Nucleus,11
Endoplasmic reticulum membrane:Cytoplasmic vesicle membrane,11
"Cytoplasm, cytosol:Endoplasmic reticulum:Rough endoplasmic reticulum",11
Nucleus:Cytoplasm:Secreted,11
Cytoplasm:Peroxisome,11
"Cytoplasm, cytosol:Cytoplasmic vesicle, COPII-coated vesicle membrane:Endoplasmic reticulum membrane:Membrane",11
Lysosome membrane:Late endosome membrane,11
Cytoplasm:Peroxisome membrane,10
Vacuole membrane:Prevacuolar compartment membrane,10
"Nucleus, nucleolus:Nucleus:Cytoplasm",10
"Cell projection, cilium, flagellum:Cytoplasm, cytoskeleton, flagellum axoneme",10
Membrane:Nucleus:Cytoplasm,10
"Nucleus, nucleolus:Nucleus, Cajal body",10
Membrane:Postsynaptic cell membrane:Synaptic cell membrane,10
Synapse:Cell membrane,10
Spore wall,10
Lipid droplet:Endoplasmic reticulum membrane,10
Membrane:Sarcoplasmic reticulum membrane,10
Membrane:Mitochondrion inner membrane:Mitochondrion matrix,10
Nucleus outer membrane,10
Cell membrane:Endosome membrane:Membrane,10
"Nucleus speckle:Nucleus, Cajal body",10
Endoplasmic reticulum membrane:Endoplasmic reticulum-Golgi intermediate compartment membrane,10
"Cytoplasm:Cell projection, lamellipodium",10
"Cytoplasm, perinuclear region:Cytoplasm",10
Endoplasmic reticulum membrane:Golgi apparatus membrane:Cell membrane,10
Golgi apparatus membrane:Cytoplasm,10
Cell membrane:Mitochondrion outer membrane,10
Cell surface:Cell membrane,10
"Cytoplasm, cytoskeleton:Cytoplasm",10
Membrane:Apical cell membrane,10
Membrane raft,10
"Cytoplasm:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome:Nucleus",10
"Cytoplasm, cytosol:Peroxisome",10
"Secreted, cell wall:Cell surface",10
"Nucleus:Cytoplasm, cytoskeleton, spindle:Chromosome, centromere, kinetochore:Cytoplasm, cytoskeleton",10
Cleavage furrow,10
"Plastid, chloroplast thylakoid",10
Mitochondrion matrix:Mitochondrion inner membrane,10
"Nucleus:Cytoplasm, P-body",10
"Cytoplasmic vesicle, COPII-coated vesicle membrane:Endoplasmic reticulum membrane:Cytoplasm, cytosol",10
"Cytoplasm, cytoskeleton, cilium basal body:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome",10
Cell membrane:Cell membrane:Secreted,10
Endoplasmic reticulum:Cytoplasm,10
"Cell membrane:Cell junction, tight junction",10
"Cell membrane:Cell junction, focal adhesion",10
"Cell membrane:Cell projection, axon:Cell projection, dendrite",10
Cytoplasm:Early endosome,10
Endoplasmic reticulum membrane:Mitochondrion outer membrane:Cell membrane,10
"Cytoplasm:Nucleus:Nucleus, nucleolus:Nucleus, nucleoplasm",10
"Cell membrane:Basolateral cell membrane:Cell junction:Postsynaptic density membrane:Cell junction, tight junction",9
"Cell projection, cilium membrane:Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite:Membrane",9
"Cytoplasm, perinuclear region:Golgi apparatus",9
"Cytoplasm:Nucleus:Cytoplasm, Stress granule",9
